proteins,genes
1016907,1016906
1016912,1016911
1016928,1016920
1016935,1016934
1016955,1016941
1016991,1016976
1017020,1017013
1017029,1017026
1017064,1017056
1017069,1017068
1017074,1017073
1017079,1017078
1017086,1017085
1017091,1017090
1017096,1017095
1017112,1017107
1017117,1017116
1017139,1017138
1017144,1017143
1017154,1017151
1017179,1017178
1017184,1017183
1017189,1017188
1017194,1017193
1017199,1017198
1017204,1017203
1017209,1017208
1017238,1017229
1017252,1017245
1017284,1017277
1017291,1017290
1017317,1017316
1017324,1017323
1017329,1017328
1017334,1017333
1017339,1017338
1017344,1017343
1017349,1017348
1017362,1017361
1017367,1017366
1017388,1017387
1017397,1017394
1017412,1017406
1017443,1017442
1017448,1017447
1017464,1017454
1017469,1017468
1017476,1017475
1017481,1017480
1017497,1017488
1017508,1017506
1017508,1017507
1017525,1017521
1017534,1017531
1017555,1017554
1017568,1017561
1017594,1017593
1017605,1017600
1017610,1017609
1017628,1017617
1017637,1017634
1017645,1017644
1017673,1017667
1017700,1017697
1017709,1017706
1017741,1017736
1017746,1017745
1017757,1017753
1017762,1017761
1017769,1017768
1017774,1017773
1017779,1017778
1017800,1017799
1017805,1017804
1017817,1017812
1017842,1017841
1017847,1017846
1017852,1017851
1017857,1017856
1017868,1017863
1017879,1017874
1017886,1017885
1017904,1017901
1017937,1017936
1017942,1017941
1017967,1017966
1017974,1017973
1017979,1017978
1017984,1017983
1017991,1017990
1017999,1017998
1018004,1018003
1018013,1018012
1018035,1018034
1018040,1018039
1018047,1018046
1018065,1018055
1018090,1018089
1018099,1018096
1018104,1018103
1018113,1018110
1018118,1018117
1018123,1018122
1018128,1018127
1018133,1018132
1018151,1018150
1018170,1018159
1018193,1018192
1018198,1018197
1018231,1018230
1018236,1018235
1018241,1018240
1018246,1018245
1018251,1018250
1018262,1018257
1018274,1018269
1018295,1018290
1018319,1018314
1018348,1018345
1018353,1018352
1018358,1018357
1018363,1018362
1018375,1018370
1018391,1018381
1018407,1018406
1018414,1018413
1018442,1018433
1018447,1018446
1018452,1018451
1018477,1018476
1018482,1018481
1018487,1018486
1018500,1018494
1018514,1018507
1018519,1018518
1018524,1018523
1018530,1018528
1018530,1018529
1018567,1018566
1018591,1018590
1018596,1018595
1018627,1018626
1018639,1018634
1018644,1018643
1018655,1018650
1018667,1018661
1018672,1018671
1018681,1018680
1018686,1018685
1018712,1018711
1018717,1018716
1018755,1018751
1018760,1018759
1018769,1018766
1018774,1018773
1018779,1018778
1018789,1018785
1018819,1018811
1018836,1018833
1018859,1018858
1018864,1018863
1018869,1018868
1018890,1018889
1018895,1018894
1018900,1018899
1018905,1018904
1018910,1018909
1018915,1018914
1018926,1018921
1018944,1018941
1018968,1018967
1018973,1018972
1019010,1019007
1019021,1019016
1019033,1019028
1019038,1019037
1019043,1019042
1019048,1019047
1019053,1019052
1019066,1019065
1019091,1019088
1019096,1019095
1019130,1019127
1019135,1019134
1019140,1019139
1019145,1019144
1019150,1019149
1019155,1019154
1019160,1019159
1019169,1019168
1019180,1019175
1019202,1019201
1019207,1019206
1019241,1019234
1019254,1019249
1019259,1019258
1019264,1019263
1019277,1019271
1019288,1019283
1019306,1019296
1019320,1019319
1019331,1019326
1019357,1019356
1019362,1019361
1019394,1019393
1019399,1019398
1019404,1019403
1019409,1019408
1019416,1019415
1019425,1019422
1019432,1019431
1019441,1019440
1019448,1019447
1019482,1019475
1019487,1019486
1019498,1019493
1019528,1019527
1019533,1019532
1019550,1019541
1019555,1019554
1019560,1019559
1019571,1019566
1019576,1019575
1019586,1019585
1019591,1019590
1019612,1019611
1019617,1019616
1019652,1019645
1019661,1019658
1019666,1019665
1019671,1019670
1019696,1019677
1019708,1019702
1019717,1019716
1019724,1019723
1019755,1019750
1019760,1019759
1019779,1019770
1019811,1019810
1019816,1019815
1019827,1019822
1019832,1019831
1019844,1019839
1019855,1019850
1019860,1019859
1019869,1019868
1019894,1019893
1019901,1019900
1019926,1019925
1019931,1019930
1019936,1019935
1019945,1019942
1019962,1019952
1019970,1019969
1019981,1019977
1019995,1019994
1020024,1020019
1020044,1020031
1020069,1020068
1020074,1020073
1020079,1020078
1020084,1020083
1020089,1020088
1020094,1020093
1020099,1020098
1020122,1020115
1020143,1020142
1020148,1020147
1020177,1020176
1020182,1020181
1020187,1020186
1020192,1020191
1020197,1020196
1020211,1020204
1020216,1020215
1020223,1020222
1020241,1020240
1020268,1020267
1020279,1020274
1020284,1020283
1020312,1020311
1020321,1020318
1020326,1020325
1020339,1020333
1020350,1020345
1020355,1020354
1020360,1020359
1020385,1020378
1020390,1020389
1020412,1020411
1020437,1020436
1020444,1020443
1020449,1020448
1020470,1020456
1020475,1020474
1020489,1020484
1020500,1020495
1020509,1020508
1020514,1020513
1020539,1020538
1020544,1020543
1020554,1020551
1020589,1020582
1020594,1020593
1020601,1020600
1020606,1020605
1020613,1020612
1020620,1020619
1020628,1020627
1020637,1020636
1020659,1020658
1020690,1020689
1020703,1020697
1020716,1020709
1020726,1020723
1020731,1020730
1020739,1020738
1020753,1020752
1020758,1020757
1020782,1020781
1020789,1020788
1020818,1020815
1020823,1020822
1020834,1020829
1020839,1020838
1020848,1020845
1020853,1020852
1020872,1020871
1020883,1020878
1020902,1020901
1020912,1020908
1020944,1020939
1020949,1020948
1020954,1020953
1020959,1020958
1020968,1020965
1020984,1020975
1020991,1020990
1021013,1021012
1021034,1021033
1021075,1021062
1021080,1021079
1021085,1021084
1021090,1021089
1021095,1021094
1021102,1021101
1021121,1021110
1021137,1021132
1021163,1021162
1021168,1021167
1021193,1021192
1021198,1021197
1021208,1021205
1021213,1021212
1021218,1021217
1021223,1021222
1021228,1021227
1021246,1021243
1021269,1021268
1021274,1021273
1021306,1021305
1021319,1021312
1021324,1021323
1021329,1021328
1021334,1021333
1021344,1021341
1021355,1021350
1021362,1021361
1021380,1021379
1021385,1021384
1021410,1021409
1021423,1021416
1021437,1021429
1021442,1021441
1021447,1021446
1021452,1021451
1021457,1021456
1021476,1021475
1021493,1021492
1021498,1021497
1021513,1021504
1021526,1021519
1021564,1021558
1021580,1021573
1021585,1021584
1021590,1021589
1021599,1021596
1021608,1021605
1021621,1021620
1021639,1021638
1021644,1021643
1021665,1021664
1021670,1021669
1021681,1021676
1021686,1021685
1021693,1021692
1021698,1021697
1021705,1021704
1021729,1021720
1021750,1021749
1021759,1021756
1021785,1021784
1021790,1021789
1021795,1021794
1021800,1021799
1021805,1021804
1021818,1021811
1021829,1021824
1021848,1021847
1021853,1021852
1021874,1021873
1021879,1021878
1021904,1021903
1021909,1021908
1021920,1021915
1021929,1021926
1021939,1021935
1021944,1021943
1021949,1021948
1021974,1021965
1022001,1022000
1022031,1022030
1022036,1022035
1022045,1022042
1022050,1022049
1022055,1022054
1022060,1022059
